Workload,SolutionID,Tensor,ILP_Value,Trace_Value
ResNet_1x1_Proj,18,weight,4.000000000000002,4
ResNet_1x1_Proj,18,output,3.0624999999960014,4
ResNet_1x1_Proj,18,max,4.000000000000002,4
ResNet_1x1_Proj,19,input,0.9999999517414148,1
ResNet_1x1_Proj,19,weight,4.000000000000002,4
ResNet_1x1_Proj,19,output,3.0624999999960014,4
ResNet_1x1_Proj,19,max,4.000000000000002,4
ResNet_1x1_Red,0,input,4.000000000000001,4
ResNet_1x1_Red,0,weight,4.000000000000001,4
ResNet_1x1_Red,0,output,0.9999999999999984,1
ResNet_1x1_Red,0,max,4.000000000000001,4
ResNet_1x1_Red,1,input,4.000000000000001,4
ResNet_1x1_Red,1,weight,4.000000000000001,4
ResNet_1x1_Red,1,output,0.9999999999999984,1
ResNet_1x1_Red,1,max,4.000000000000001,4
ResNet_1x1_Red,2,input,4.000000000000001,4
ResNet_1x1_Red,2,weight,4.000000000000001,4
ResNet_1x1_Red,2,output,0.9999999999999984,1
ResNet_1x1_Red,2,max,4.000000000000001,4
ResNet_1x1_Red,3,input,4.000000000000001,4
ResNet_1x1_Red,3,weight,4.000000000000001,4
ResNet_1x1_Red,3,output,0.9999999999999984,1
ResNet_1x1_Red,3,max,4.000000000000001,4
ResNet_1x1_Red,4,input,4.000000000000001,4
ResNet_1x1_Red,4,weight,4.000000000000001,4
ResNet_1x1_Red,4,output,0.9999999999999984,1
ResNet_1x1_Red,4,max,4.000000000000001,4
ResNet_1x1_Red,5,input,4.000000000000001,4
ResNet_1x1_Red,5,weight,4.000000000000001,4
ResNet_1x1_Red,5,output,0.9999999999999984,1
ResNet_1x1_Red,5,max,4.000000000000001,4
ResNet_1x1_Red,6,input,4.000000000000001,4
ResNet_1x1_Red,6,weight,4.000000000000001,4
ResNet_1x1_Red,6,output,0.9999999999999984,1
ResNet_1x1_Red,6,max,4.000000000000001,4
ResNet_1x1_Red,7,input,4.000000000000001,4
ResNet_1x1_Red,7,weight,4.000000000000001,4
ResNet_1x1_Red,7,output,0.9999999999999984,1
ResNet_1x1_Red,7,max,4.000000000000001,4
ResNet_1x1_Red,8,input,4.000000000000001,4
ResNet_1x1_Red,8,weight,4.000000000000001,4
ResNet_1x1_Red,8,output,0.9999999999999984,1
ResNet_1x1_Red,8,max,4.000000000000001,4
ResNet_1x1_Red,9,input,4.000000000000001,4
ResNet_1x1_Red,9,weight,4.000000000000001,4
ResNet_1x1_Red,9,output,0.9999999999999984,1
ResNet_1x1_Red,9,max,4.000000000000001,4
ResNet_1x1_Red,10,input,4.000000000000001,4
ResNet_1x1_Red,10,weight,4.000000000000001,4
ResNet_1x1_Red,10,output,0.9999999999999984,1
ResNet_1x1_Red,10,max,4.000000000000001,4
ResNet_1x1_Red,11,input,4.000000000000001,4
ResNet_1x1_Red,11,weight,4.000000000000001,4
ResNet_1x1_Red,11,output,0.9999999999999984,1
ResNet_1x1_Red,11,max,4.000000000000001,4
ResNet_1x1_Red,12,input,4.000000000000001,4
ResNet_1x1_Red,12,weight,4.000000000000001,4
ResNet_1x1_Red,12,output,0.9999999999999984,1
ResNet_1x1_Red,12,max,4.000000000000001,4
ResNet_1x1_Red,13,input,4.000000000000001,4
ResNet_1x1_Red,13,weight,4.000000000000001,4
ResNet_1x1_Red,13,output,0.9999999999999984,1
ResNet_1x1_Red,13,max,4.000000000000001,4
ResNet_1x1_Red,14,input,4.000000000000001,4
ResNet_1x1_Red,14,weight,4.000000000000001,4
ResNet_1x1_Red,14,output,0.9999999999999984,1
ResNet_1x1_Red,14,max,4.000000000000001,4
ResNet_1x1_Red,15,input,4.000000000000001,4
ResNet_1x1_Red,15,weight,4.000000000000001,4
ResNet_1x1_Red,15,output,0.9999999999999984,1
ResNet_1x1_Red,15,max,4.000000000000001,4
ResNet_1x1_Red,16,input,4.000000000000001,4
ResNet_1x1_Red,16,weight,4.000000000000001,4
ResNet_1x1_Red,16,output,0.9999999999999984,1
ResNet_1x1_Red,16,max,4.000000000000001,4
ResNet_1x1_Red,17,input,4.000000000000001,4
ResNet_1x1_Red,17,weight,4.000000000000001,4
ResNet_1x1_Red,17,output,0.9999999999999984,1
ResNet_1x1_Red,17,max,4.000000000000001,4
ResNet_1x1_Red,18,input,4.000000000000001,4
ResNet_1x1_Red,18,weight,4.000000000000001,4
ResNet_1x1_Red,18,output,0.9999999999999984,1
ResNet_1x1_Red,18,max,4.000000000000001,4
ResNet_1x1_Red,19,input,4.000000000000001,4
ResNet_1x1_Red,19,weight,4.000000000000001,4
ResNet_1x1_Red,19,output,0.9999999999999984,1
ResNet_1x1_Red,19,max,4.000000000000001,4
YOLO_Tiny,0,input,63.99999999999998,64
YOLO_Tiny,0,weight,71.99999999989429,72
